Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
65.665,3.55545921,0.8689656,89.45843055,0.61284114,0.96886464,-0.85083705,-10.13765663,5.08844614,-13.86207636,-8.42778519,19.22099298,8.57995445,0,25.57513408,-6.20990996,-5.72531656,-24.14882834,6.15406469,-5.16913593,0,0,0,0
65.67,3.5944589,0.92323205,89.35045965,0.61260665,0.96818695,-0.85077429,-10.6083847,5.06228131,-13.80029936,-8.45452991,19.31368639,8.73740771,0,25.37410883,-6.23340607,-5.56557351,-22.48526783,6.07157552,-4.55499446,0,0,0,0
65.675,3.62905761,0.96747672,89.23739057,0.61235265,0.96748703,-0.85072366,-11.0511279,5.02008871,-13.72767792,-8.51543572,19.4030552,8.90924682,0,25.18440777,-6.25758678,-5.41596261,-20.89090412,5.99064622,-3.96788417,0,0,0,0
65.68,3.6576385,1.00591628,89.12024105,0.61207863,0.96677221,-0.85068996,-11.46980079,4.96004318,-13.64963682,-8.61150961,19.4869306,9.09963977,0,25.0042526,-6.28149318,-5.28468613,-19.37799275,5.91544697,-3.40142293,0,0,0,0
65.685,3.69763637,1.05791261,89.01308605,0.61178508,0.96605987,-0.85067047,-11.88165031,4.90068432,-13.61953963,-8.75078822,19.55862403,9.34938723,0,24.82681566,-6.32452866,-5.19292374,-17.97140977,5.84529261,-2.79592275,0,0,0,0
65.69,3.71162552,1.08814536,88.8795424,0.6114585,0.96532461,-0.85065688,-12.24019854,4.79577748,-13.5290198,-8.94679266,19.64845469,9.57853246,0,24.66756243,-6.34512896,-5.12567467,-16.6522864,5.78330983,-2.28255846,0,0,0,0
65.695,3.72740465,1.10290662,88.76604313,0.61108623,0.96456662,-0.85066666,-12.55244764,4.67430468,-13.56125502,-9.20122894,19.70691042,9.95884962,0,24.55056502,-6.37541024,-5.14662806,-15.46602691,5.74066972,-1.65069667,0,0,0,0
65.7,3.7358737,1.13936014,88.64044809,0.61068349,0.96383342,-0.85069077,-12.88394714,4.54797813,-13.42758853,-9.46277429,19.79046921,10.16361676,0,24.4029031,-6.38383844,-5.10171359,-14.36910759,5.69007796,-1.23241965,0,0,0,0
65.705,3.73232189,1.16740725,88.53531528,0.61022921,0.96309753,-0.85076172,-13.19154198,4.39750489,-13.3766991,-9.75435471,19.82883725,10.47047404,0,24.28620518,-6.38688685,-5.1701733,-13.41299609,5.65435406,-0.67583699,0,0,0,0
65.71,3.72314063,1.18021258,88.41491137,0.60973211,0.96235205,-0.85083132,-13.43975754,4.22186396,-13.30389368,-10.12620314,19.86623046,10.76590058,0,24.19185332,-6.38356155,-5.26712779,-12.58041271,5.63546035,-0.19230776,0,0,0,0
